ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Dorsal_Attention	BSCMR008	BSCMR019	0.148585	v5001	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR019	0.165677	v5001	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR019	-0.292604	v5001	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR019	0.190716	v5001	B	B	B_B	neutral
Default	BSCMR008	BSCMR019	0.239671	v5001	B	B	B_B	neutral
Visual	BSCMR008	BSCMR019	0.140007	v5002	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR019	0.304623	v5002	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR019	-0.23403	v5002	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR019	0.673386	v5002	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR019	0.101807	v5002	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR019	0.321548	v5002	B	B	B_B	neutral
Default	BSCMR008	BSCMR019	-0.430279	v5002	B	B	B_B	neutral
Visual	BSCMR008	BSCMR019	0.311753	v5008	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR019	-0.455393	v5008	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR019	-0.379736	v5008	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR019	-0.632634	v5008	B	B	B_B	neutral
